,date,r_eff,ci_lower,ci_upper,method,pos,casenum
1,2020-03-11,2.08250032563539,1.19032887111054,3.22009461601001,Cori,2.47933884297521,3
2,2020-03-12,1.99728927672776,1.20249861639434,2.99044244890819,Cori,2.34375,3
3,2020-03-13,2.13851058352629,1.37018408230445,3.07511521278234,Cori,3.84615384615385,6
4,2020-03-14,2.19229339582896,1.46821329391219,3.05921661345452,Cori,3.15315315315315,7
5,2020-03-15,2.27321306785498,1.59213048592722,3.07366994758889,Cori,2.99145299145299,7
6,2020-03-16,2.1409114292362,1.53635500463615,2.84420850781036,Cori,9.4017094017094,11
7,2020-03-17,2.24168399836738,1.67419683147065,2.89071968794527,Cori,3.7037037037037,8
8,2020-03-18,2.10922640564298,1.60564086610804,2.68044959416415,Cori,2.89017341040462,15
9,2020-03-19,1.9521693688534,1.50980764844664,2.45050011144757,Cori,1.75182481751825,12
10,2020-03-20,2.09084588976152,1.66774056666081,2.56106189201686,Cori,3.61702127659574,17
11,2020-03-21,2.23460375090819,1.82951045638863,2.67960404613133,Cori,2.89855072463768,28
12,2020-03-22,2.03393602229076,1.68068069015228,2.42038533269476,Cori,3.26492537313433,35
13,2020-03-23,2.07881478882613,1.75206690015172,2.43308663670046,Cori,3.51170568561873,21
14,2020-03-24,1.9542036996456,1.66313119950602,2.26840240183282,Cori,5.39772727272727,38
15,2020-03-25,1.92429654875848,1.65836540593214,2.20971326401413,Cori,3.11447811447811,37
16,2020-03-26,1.88535436512241,1.64174763157768,2.14556687321312,Cori,3.07086614173228,39
17,2020-03-27,1.86992704237003,1.6448603548952,2.10921537442098,Cori,4.08560311284047,42
18,2020-03-28,1.63387311199076,1.43872892811825,1.84124723509146,Cori,3.57723577235772,66
19,2020-03-29,1.53602039102914,1.35920015676189,1.72349602872534,Cori,3.29575021682567,38
20,2020-03-30,1.36899413630129,1.21112076188115,1.53639915498763,Cori,5.32544378698225,45
21,2020-03-31,1.37344736648666,1.22216566474876,1.53342840951766,Cori,3.2015065913371,34
22,2020-04-01,1.2760699163965,1.1355140908152,1.42470829977177,Cori,5.02933780385583,60
23,2020-04-02,1.21395610703594,1.08131401194173,1.35416089841434,Cori,2.77777777777778,38
24,2020-04-03,1.11398314016354,0.990272514112288,1.2448696441665,Cori,3.32326283987915,55
25,2020-04-04,0.987996932353747,0.873856892393742,1.10904129406654,Cori,3.01204819277108,55
26,2020-04-05,1.05186997627579,0.935057173103119,1.17545854678162,Cori,1.06589147286822,11
27,2020-04-06,1.14986430103458,1.02787059766926,1.27860013847766,Cori,4.98633879781421,73
28,2020-04-07,1.17137693391179,1.04910728958374,1.30028869810683,Cori,3.8961038961039,78
29,2020-04-08,1.2745687448741,1.14865211626786,1.40693980788068,Cori,4.09047160731473,85
30,2020-04-09,1.25554057157605,1.13293197291747,1.38435786732571,Cori,9.89632422243167,210
31,2020-04-10,1.21899534085063,1.10114839490096,1.34274695440701,Cori,5.96125186289121,120
32,2020-04-11,1.25093339953109,1.13427946025174,1.37321500022801,Cori,6.3653723742839,100
33,2020-04-12,1.14680033478474,1.03768610617712,1.26129081007121,Cori,3.72960372960373,48
34,2020-04-13,1.08753753982116,0.983558882132615,1.19666559281252,Cori,5.36779324055666,54
35,2020-04-14,1.04632081197565,0.945791648003812,1.15185424734346,Cori,4.4636908727515,67
36,2020-04-15,1.0619810879124,0.961541218603507,1.16733871532599,Cori,6.27687016337059,73
37,2020-04-16,1.04177888006086,0.942895423090139,1.14552218449236,Cori,3.5794904869397,111
38,2020-04-17,1.01475850671709,0.917738198412305,1.11658360795697,Cori,3.07226308957161,71
39,2020-04-18,1.0273133635887,0.93003626350739,1.12935934235987,Cori,3.3442088091354,82
40,2020-04-19,1.00275388000521,0.906881325157987,1.10337438692813,Cori,3.9906103286385,68
41,2020-04-20,1.02389754698797,0.92717476353798,1.12535017120747,Cori,5.71428571428571,114
42,2020-04-21,1.02421231342165,0.927574644283909,1.12556976772732,Cori,2.64150943396226,70
43,2020-04-22,0.913234178298093,0.822301115239727,1.00886725915924,Cori,4.31547619047619,116
44,2020-04-23,0.91722684267035,0.826016802798938,1.01314465848116,Cori,3.46032855644879,99
45,2020-04-24,0.921298224581919,0.829195921895895,1.01818101090141,Cori,2.35294117647059,60
46,2020-04-25,0.899043819065198,0.807312004857701,0.995640529789593,Cori,2.10798816568047,57
47,2020-04-26,0.921278850991129,0.82753855989461,1.01997603729324,Cori,3.91509433962264,83
48,2020-04-27,0.889538814732862,0.796552302634064,0.987584469141475,Cori,4.26632191338074,66
49,2020-04-28,0.847585125891111,0.755992344033841,0.944339367136492,Cori,2.49360613810742,78
50,2020-04-29,0.884036950745293,0.789242235784671,0.984129940812467,Cori,1.8106374952848,48
51,2020-04-30,0.914266920891343,0.816381015093931,1.01761499686414,Cori,2.60355029585799,88
52,2020-05-01,0.890346239942388,0.792593698452837,0.993700724178554,Cori,2.45341614906832,79
53,2020-05-02,0.861707193198395,0.76455830115377,0.964582136761992,Cori,2.27734851565677,56
54,2020-05-03,0.809748108199223,0.714481213597053,0.910890433711116,Cori,1.8993839835729,37
55,2020-05-04,0.801726795491122,0.705416944991186,0.904109759507925,Cori,1.87617260787993,30
56,2020-05-05,0.765536352314346,0.669588811850439,0.867814477905092,Cori,1.44745122718691,46
57,2020-05-06,0.697041549506883,0.603554944303674,0.797160978727011,Cori,0.735710243350311,39
58,2020-05-07,0.611582408921189,0.521824043049134,0.708359067075811,Cori,0.557546794105934,28
59,2020-05-08,0.638005161337328,0.542976297434302,0.74058422907591,Cori,0.833333333333333,35
