Dátum;Napi esetszám [fő/nap];Napi tesztszám [db/nap];Tesztpozitivitás [%]
2020-07-21;19;2158;0,880444856348471
2020-07-22;14;3132;0,446998722860792
2020-07-23;18;3734;0,48205677557579
2020-07-24;26;3819;0,680806493846557
2020-07-25;11;2881;0,381811870878167
2020-07-26;13;2029;0,640709709216363
2020-07-27;8;1656;0,483091787439614
2020-07-28;9;3207;0,280636108512629
2020-07-29;19;3015;0,630182421227197
2020-07-30;21;2702;0,77720207253886
2020-07-31;21;3724;0,56390977443609
2020-08-01;9;2110;0,42654028436019
2020-08-02;9;1965;0,458015267175573
2020-08-03;9;1170;0,769230769230769
2020-08-04;11;1976;0,55668016194332
2020-08-05;33;2438;1,35356849876948
2020-08-06;24;2921;0,821636425881547
2020-08-07;32;2970;1,07744107744108
2020-08-08;43;2335;1,84154175588865
2020-08-09;35;1888;1,85381355932203
2020-08-10;15;799;1,87734668335419
2020-08-11;22;2897;0,759406282361063
2020-08-12;45;3189;1,41110065851364
2020-08-13;40;3142;1,27307447485678
2020-08-14;24;2998;0,800533689126084
2020-08-15;39;2923;1,33424563804311
2020-08-16;30;2324;1,29087779690189
2020-08-17;24;2479;0,968132311415893
2020-08-18;32;3700;0,864864864864865
2020-08-19;44;2968;1,48247978436658
2020-08-20;52;3352;1,55131264916468
2020-08-21;35;1480;2,36486486486487
2020-08-22;22;2181;1,0087116001834
2020-08-23;36;1458;2,46913580246914
2020-08-24;24;1892;1,26849894291755
2020-08-25;73;4625;1,57837837837838
2020-08-26;91;3732;2,43837084673098
2020-08-27;132;5846;2,25795415668833
2020-08-28;158;3245;4,86902927580894
2020-08-29;292;6380;4,57680250783699
2020-08-30;178;3880;4,58762886597938
2020-08-31;118;1792;6,58482142857143
2020-09-01;365;7589;4,80959283173014
2020-09-02;301;7516;4,00478978179883
2020-09-03;459;7091;6,47299393597518
2020-09-04;510;8097;6,298629121897
2020-09-05;495;9765;5,06912442396313
2020-09-06;576;11424;5,04201680672269
2020-09-07;341;5722;5,95945473610626
2020-09-08;411;8335;4,93101379724055
2020-09-09;476;10104;4,71100554235946
2020-09-10;718;11637;6,16997507948784
2020-09-11;916;11841;7,73583312220252
2020-09-12;484;8834;5,47883178628028
2020-09-13;844;11314;7,45978433798833
2020-09-14;726;8653;8,39015370391772
2020-09-15;581;9827;5,91228248702554
2020-09-16;710;12381;5,7345933284872
2020-09-17;941;11546;8,15000866100814
2020-09-18;809;12504;6,46992962252079
2020-09-19;1070;11877;9,00900900900901
2020-09-20;876;10022;8,74077030532828
2020-09-21;633;6010;10,5324459234609
2020-09-22;951;13461;7,06485402273234
2020-09-23;750;11945;6,27877773126831
2020-09-24;927;11116;8,33933069449442
2020-09-25;950;11782;8,06314717365473
2020-09-26;937;10073;9,30209470862702
2020-09-27;702;7065;9,93630573248408
2020-09-28;851;7037;12,0932215432713
2020-09-29;894;11167;8,00573117220382
2020-09-30;848;11972;7,08319411961243
2020-10-01;1322;12394;10,6664515087946
2020-10-02;1086;11174;9,7189905136925
2020-10-03;858;7957;10,7829584014076
2020-10-04;905;6424;14,087795765878
2020-10-05;818;5699;14,3533953325145
2020-10-06;816;9726;8,38988278840222
2020-10-07;932;11462;8,13121619263654
2020-10-08;1176;11163;10,5348024724536
2020-10-09;1374;11719;11,7245498762693
2020-10-10;1068;10203;10,4675095560129
2020-10-11;1173;8527;13,7563035065087
2020-10-12;1025;7123;14,3900042117086
2020-10-13;920;9658;9,52578173534893
2020-10-14;950;10742;8,84379072798362
2020-10-15;1293;9797;13,1979177299173
2020-10-16;1791;12971;13,8077249248323
2020-10-17;1474;9997;14,7444233269981
2020-10-18;1478;9651;15,3144751839188
2020-10-19;989;6332;15,6190777005685
2020-10-20;1423;9113;15,6150554153407
2020-10-21;2032;16361;12,4197787421307
2020-10-22;2066;13628;15,1599647783974
2020-10-23;1820;11971;15,2034082365717
2020-10-24;3149;18932;16,633213606592
2020-10-25;2316;10010;23,1368631368631
2020-10-26;2079;11710;17,7540563620837
2020-10-27;2291;15596;14,6896640164145
2020-10-28;2194;15253;14,3840555956205
2020-10-29;3286;15638;21,0129172528456
2020-10-30;3908;16563;23,5947594034897
2020-10-31;3878;18600;20,8494623655914
2020-11-01;3581;13628;26,2767830936308
2020-11-02;3989;14620;27,2845417236662
2020-11-03;4219;17657;23,8942062638047
2020-11-04;3928;17968;21,8610863757792
2020-11-05;4709;20025;23,5156054931336
2020-11-06;5318;22321;23,8250974418709
2020-11-07;4673;19189;24,3524936161342
