1584403200-1585612800:0.8999,0.000000,1.938550, nan
1584489600-1585699200:1.1127,0.000000,1.728261,0.452257
1584576000-1585785600:1.1307,0.000000,1.678404,0.442271
1584662400-1585872000:1.1424,0.000000,1.740729,0.469078
1584748800-1585958400:1.1966,0.000000,1.730423,0.466581
1584835200-1586044800:1.2247,0.000000,1.726612,0.474569
1584921600-1586131200:1.2069,0.000000,1.727095,0.473812
1585008000-1586217600:1.1723,0.000000,1.710583,0.470592
1585094400-1586304000:1.1337,0.000000,1.713618,0.472716
1585180800-1586390400:1.1406,0.000000,1.706471,0.475488
1585267200-1586476800:1.1428,0.002051,1.707284,0.477102
1585353600-1586563200:1.1546,0.006195,1.715257,0.478702
1585440000-1586649600:1.1446,0.011752,1.717905,0.477430
1585526400-1586736000:1.1479,0.022850,1.722809,0.475419
1585612800-1586822400:1.1445,0.027662,1.723604,0.472773
1585699200-1586908800:1.1039,0.038574,1.753750,0.473660
1585785600-1586995200:1.0966,0.057711,1.777624,0.477810
1585872000-1587081600:1.0500,0.216676,1.759159,0.472899
1585958400-1587168000:1.0051,0.263232,1.763810,0.480071
1586044800-1587254400:0.9355,0.303592,1.780575,0.468670
1586131200-1587340800:0.9240,0.354533,1.796650,0.469954
1586217600-1587427200:1.0175,0.429057,1.833498,0.477099
1586304000-1587513600:0.9760,0.513603,1.870967,0.467337
1586390400-1587600000:0.9812,0.573315,1.943668,0.475928
1586476800-1587686400:1.1727,0.522961,1.965775,0.508067
1586563200-1587772800:1.2521,0.591791,2.005899,0.507324
1586649600-1587859200:1.3245,0.585893,2.006713,0.512679
1586736000-1587945600:1.3147,0.576934,1.997710,0.513901
1586822400-1588032000:1.3235,0.583787,2.010979,0.524023
1586908800-1588118400:1.3906,0.583948,2.002403,0.539761
1586995200-1588204800:1.4339,0.594143,2.018716,0.548985
1587081600-1588291200:1.4272,0.516692,2.026437,0.549557
1587168000-1588377600:1.4310,0.516059,2.017916,0.554414
1587254400-1588464000:1.4202,0.515097,2.012892,0.553181
1587340800-1588550400:1.4202,0.515410,2.018443,0.556735
1587427200-1588636800:1.3913,0.547677,2.012749,0.551014
1587513600-1588723200:1.4037,0.563653,2.015042,0.554473
1587600000-1588809600:1.4147,0.574776,1.997936,0.555274
1587686400-1588896000:1.3665,0.609357,1.999975,0.555394
1587772800-1588982400:1.2593,0.532557,1.971456,0.567672
1587859200-1589068800:1.2183,0.537177,1.971605,0.572652
1587945600-1589155200:1.1906,0.562724,1.982651,0.590195
1588032000-1589241600:1.3365,0.534915,1.906001,0.608188
1588118400-1589328000:1.3933,0.537900,1.898593,0.619861
1588204800-1589414400:1.3621,0.498221,1.889972,0.624068
1588291200-1589500800:1.3865,0.511270,1.886949,0.632197
1588377600-1589587200:1.3852,0.517635,1.877653,0.633867
1588464000-1589673600:1.4259,0.518966,1.874987,0.641690
1588550400-1589760000:1.4535,0.517267,1.877154,0.642244
1588636800-1589846400:1.5188,0.476573,1.874805,0.668851
1588723200-1589932800:1.5493,0.452589,1.863201,0.673332
1588809600-1590019200:1.5840,0.478278,1.888286,0.677830
