1584489600-1585699200:1.2567,0.000000,1.768890
1584576000-1585785600:1.2856,0.000000,1.659133
1584662400-1585872000:1.1663,0.000000,1.738914
1584748800-1585958400:1.2308,0.000000,1.726219
1584835200-1586044800:1.2476,0.000000,1.723634
1584921600-1586131200:1.2428,0.000000,1.722780
1585008000-1586217600:1.1910,0.000000,1.706004
1585094400-1586304000:1.1933,0.000000,1.705826
1585180800-1586390400:1.2002,0.000000,1.700167
1585267200-1586476800:1.1786,0.002067,1.700510
1585353600-1586563200:1.2022,0.006277,1.708937
1585440000-1586649600:1.1748,0.011921,1.711836
1585526400-1586736000:1.1889,0.023029,1.721996
1585612800-1586822400:1.1609,0.027825,1.721652
1585699200-1586908800:1.1233,0.038753,1.750146
1585785600-1586995200:1.1196,0.057770,1.775477
1585872000-1587081600:1.0653,0.219011,1.755248
1585958400-1587168000:1.0245,0.266091,1.762262
1586044800-1587254400:0.9634,0.303495,1.780862
1586131200-1587340800:0.9790,0.354224,1.796016
1586217600-1587427200:1.0548,0.427385,1.829363
1586304000-1587513600:1.0198,0.512339,1.864484
1586390400-1587600000:0.9888,0.583595,1.934279
1586476800-1587686400:1.2159,0.525604,1.962094
1586563200-1587772800:1.2909,0.596387,1.996505
1586649600-1587859200:1.3468,0.593251,1.996677
1586736000-1587945600:1.3352,0.580426,1.989522
1586822400-1588032000:1.3455,0.588025,2.003083
1586908800-1588118400:1.4270,0.586597,1.994067
1586995200-1588204800:1.4577,0.598239,2.011082
1587081600-1588291200:1.4533,0.520716,2.018136
1587168000-1588377600:1.4560,0.520181,2.009585
1587254400-1588464000:1.4454,0.519470,2.004413
1587340800-1588550400:1.4466,0.519572,2.010785
1587427200-1588636800:1.4172,0.551396,2.007267
1587513600-1588723200:1.4299,0.566585,2.009920
1587600000-1588809600:1.4422,0.583096,1.991612
1587686400-1588896000:1.3776,0.614730,1.994660
1587772800-1588982400:1.3041,0.546291,1.971360
1587859200-1589068800:1.2667,0.551055,1.971653
1587945600-1589155200:1.2071,0.575098,1.978943
1588032000-1589241600:1.3441,0.549678,1.900385
1588118400-1589328000:1.4006,0.558939,1.892838
1588204800-1589414400:1.3724,0.519190,1.884240
1588291200-1589500800:1.3962,0.532707,1.881416
1588377600-1589587200:1.3954,0.539970,1.872549
1588464000-1589673600:1.4359,0.542209,1.870013
1588550400-1589760000:1.4614,0.542688,1.872914
1588636800-1589846400:1.5272,0.512125,1.867853
1588723200-1589932800:1.5596,0.491742,1.856029
1588809600-1590019200:1.5811,0.483353,1.887661
1588896000-1590105600:1.6005,0.496950,1.894127
1588982400-1590192000:2.1771,0.785756,2.209803
1589068800-1590278400:2.3561,0.846060,2.215084
1589155200-1590364800:2.3266,0.894639,2.214385
1589241600-1590451200:2.3033,0.980864,2.244156
1589328000-1590537600:2.3400,1.008506,2.250501
1589414400-1590624000:2.3868,1.016866,2.245212
1589500800-1590710400:2.3902,1.032110,2.239182
1589587200-1590796800:2.3982,1.030870,2.236457
1589673600-1590883200:2.4041,1.025987,2.232261
1589760000-1590969600:2.3915,1.024260,2.232784
1589846400-1591056000:2.3879,1.037662,2.230026
1589932800-1591142400:2.3742,1.030854,2.228496
1590019200-1591228800:2.3845,1.029960,2.224983
1590105600-1591315200:2.3945,1.031751,2.226299
1590192000-1591401600:2.2742,1.081474,2.130879
1590278400-1591488000:2.0877,1.071942,2.091561
1590364800-1591574400:2.0764,1.052453,2.050216
1590451200-1591660800:2.3463,1.006345,2.005824
1590537600-1591747200:2.2995,1.034371,1.984192
1590624000-1591833600:2.2371,0.928697,1.960333
1590710400-1591920000:2.2089,0.911269,1.958910
1590796800-1592006400:2.2224,0.938993,1.974658
1590883200-1592092800:2.2649,0.965821,1.990337
1590969600-1592179200:2.3010,0.970562,1.989089
1591056000-1592265600:2.4202,0.907362,2.005640
1591142400-1592352000:2.8484,0.970164,2.033463
1591228800-1592438400:2.9272,0.771708,2.144863
1591315200-1592524800:2.9393,0.790649,2.113504
1591401600-1592611200:2.8589,0.760357,2.081774
1591488000-1592697600:2.9128,0.766229,2.082844
1591574400-1592784000:2.9623,0.696810,2.083377
1591660800-1592870400:3.0864,0.746457,2.073466
1591747200-1592956800:3.1580,0.638339,2.036959
1591833600-1593043200:3.1937,0.616909,2.076752
1591920000-1593129600:3.1838,0.607461,2.049281
1592006400-1593216000:3.2243,0.553619,2.011861
1592092800-1593302400:2.9892,0.553315,2.032290
1592179200-1593388800:3.2117,0.540622,2.017889
1592265600-1593475200:3.1520,0.557797,1.997148
1592352000-1593561600:2.8213,0.563734,1.961933
1592438400-1593648000:2.8165,0.524853,1.906885
1592524800-1593734400:2.7658,0.516757,1.904720
1592611200-1593820800:2.9611,0.465429,1.849932
1592697600-1593907200:2.7882,0.433818,1.830750
1592784000-1593993600:2.7773,0.415885,1.841005
1592870400-1594080000:2.9213,0.293688,1.834974
1592956800-1594166400:2.8474,0.231981,1.833130
1593043200-1594252800:2.7620,0.221979,1.806276
1593129600-1594339200:2.7091,0.199218,1.843688
1593216000-1594425600:2.5995,0.177501,1.786544
1593302400-1594512000:2.5832,0.137710,1.736535
1593388800-1594598400:2.1643,0.121598,1.711710
1593475200-1594684800:2.3168,0.087857,1.733370
1593561600-1594771200:2.6071,0.083214,1.686801
1593648000-1594857600:2.6683,0.082018,1.704794
1593734400-1594944000:2.7117,0.075094,1.707087
1593820800-1595030400:2.4613,0.074652,1.761615
1593907200-1595116800:2.5832,0.075997,1.526368
1593993600-1595203200:2.6797,0.181555,1.543179
1594080000-1595289600:2.9613,0.209475,1.500794
1594166400-1595376000:2.9292,0.250480,1.687270
1594252800-1595462400:2.6673,0.339237,1.829176
1594339200-1595548800:3.7478,0.311563,1.869610
1594425600-1595635200:3.2136,0.302840,1.825039
1594512000-1595721600:3.1991,0.291271,1.788451
1594598400-1595808000:3.6356,0.325581,2.090815
1594684800-1595894400:2.2077,0.362741,2.010492
1594771200-1595980800:1.9760,0.173908,1.816788
1594857600-1596067200:1.9461,0.137011,1.794990
1594944000-1596153600:1.8834,0.123173,1.802049
